Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
81	               49_GX2_50093	Unknown	4.520 	574.5955 	9.48 	4.4235 	27.63 
82	               49_GX2_50093_DUP	Unknown	4.523 	567.6651 	9.48 	4.3701 	27.32 
83	               50_GX2_50235	Unknown	4.507 	1002.9317 	8.67 	7.7210 	46.81 
84	               50_GX2_50235_SPIKE	Spiked	4.493 	1245.3109 	10.22 	9.5869 	57.16 
85	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
86	Standard 2	Check Standard	4.540 	0.9872 	6.86 	0.8360 	5.54 
87	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
88	               51_GX2_50200	Unknown	4.497 	1127.1639 	8.66 	8.6774 	52.07 
89	               52_GX2_50128	Unknown	4.517 	667.9724 	5.90 	5.1423 	31.97 
90	               53_GX2_50215	Unknown	4.503 	939.1980 	10.36 	7.2304 	44.11 
91	               54_GX2_50246	Unknown	4.510 	746.6159 	7.89 	5.7478 	35.51 
92	               55_GX2_50276	Unknown	4.520 	555.9586 	8.70 	4.2800 	26.76 
93	               56_GX2_50177	Unknown	4.527 	496.9077 	6.36 	3.8254 	24.03 
94	               57_GX2_50140	Unknown	4.543 	132.7290 	2.76 	1.0218 	6.66 
95	               58_GX2_50175	Unknown	4.543 	4.2396 	0.10 	0.0326 	0.21 
96	               59_GX2_50262	Unknown	4.517 	580.0715 	8.47 	4.4656 	27.97 
97	               59_GX2_50262_DUP	Unknown	4.517 	608.5258 	8.46 	4.6847 	29.23 
98	               60_GX2_50194	Unknown	4.497 	1168.0204 	9.46 	8.9919 	53.87 
99	               60_GX2_50194_SPIKE	Spiked	4.490 	1332.1589 	10.97 	10.2555 	60.87 
100	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
101	Standard 2	Check Standard	4.540 	0.9877 	6.86 	0.8364 	5.56 
102	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
103	               61_GX2_50231	Unknown	4.503 	951.7225 	9.34 	7.3268 	44.55 
104	               62_GX2_50284	Unknown	4.497 	1083.2710 	8.74 	8.3395 	50.39 
105	               63_GX2_50182	Unknown	4.533 	263.6393 	4.19 	2.0296 	12.99 
106	               64_GX2_50154	Unknown	4.523 	530.1196 	7.79 	4.0811 	25.62 
107	               65_GX2_50293	Unknown	4.523 	433.6262 	6.54 	3.3382 	21.10 
108	               66_GX2_50230	Unknown	4.500 	969.4070 	9.61 	7.4629 	45.42 
109	               67_GX2_50221	Unknown	4.517 	539.3183 	7.62 	4.1519 	26.08 
110	               68_GX2_50286	Unknown	4.497 	1091.5971 	7.57 	8.4036 	50.71 
111	               69_GX2_50278	Unknown	4.493 	1099.1793 	8.71 	8.4620 	51.03 
112	               69_GX2_50278_DUP	Unknown	4.497 	1086.5112 	8.69 	8.3644 	50.56 
113	               70_GX2_50265	Unknown	4.513 	671.8492 	8.14 	5.1722 	32.20 
114	               70_GX2_50265_SPIKE	Spiked	4.507 	863.4143 	10.39 	6.6469 	40.80 
115	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
116	Standard 3	Check Standard	4.537 	2.0479 	7.07 	1.7343 	11.23 
117	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
118	               71_GX2_50071	Unknown	4.527 	384.6930 	8.56 	2.9615 	18.83 
119	               72_GX2_50121	Unknown	4.533 	2.4796 	0.05 	0.0191 	0.13 
120	               73_GX2_50184	Unknown	4.527 	342.5694 	7.70 	2.6372 	16.83 
121	               74_GX2_50136	Unknown	4.517 	631.1657 	5.06 	4.8590 	30.40 
122	               75_GX2_50226	Unknown	4.513 	660.0720 	9.00 	5.0815 	31.69 
123	               76_GX2_50159	Unknown	4.497 	1069.7269 	9.01 	8.2352 	49.88 
124	               77_GX2_50243	Unknown	4.500 	872.0852 	8.37 	6.7137 	41.27 
125	               78_GX2_50134	Unknown	4.503 	780.3747 	9.65 	6.0077 	37.07 
126	               79_GX2_50277	Unknown	4.540 	40.5180 	0.88 	0.3119 	2.08 
127	               79_GX2_50277_DUP	Unknown	4.540 	40.2896 	0.88 	0.3102 	2.07 
128	               80_GX2_50206	Unknown	4.493 	1107.1029 	8.48 	8.5230 	51.41 
129	               80_GX2_50206_SPIKE	Spiked	4.483 	1365.8852 	9.84 	10.5152 	62.28 
130	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
131	Standard 4	Check Standard	4.490 	10.7136 	7.25 	9.0726 	54.41 
132	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
133	Standard 1	Calibration Standard	4.540 	0.4618 	6.55 	0.3911 	2.66 
134	Standard 2	Calibration Standard	4.533 	0.9909 	6.89 	0.8391 	5.57 
135	Standard 3	Calibration Standard	4.530 	2.0504 	7.08 	1.7363 	11.23 
136	Standard 4	Calibration Standard	4.490 	10.7145 	7.25 	9.0733 	54.43 
137	Standard 5	Calibration Standard	4.453 	19.7133 	6.65 	16.6937 	93.82 
138	Lab Blank	Unknown	4.540 	0.0148 	46.52 	0.0126 	0.02 
139	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
140	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
Maximum			5.060 	2440.6310 	46.52 	18.7890 	104.08 
Average			4.529 	592.2893 	7.81 	5.1873 	31.54 
Minimum			4.453 	0.0148 	0.05 	0.0126 	0.02 
Standard Deviation			0.089 	452.3200 	4.63 	3.6128 	20.97 
Relative Standard Deviation			1.96%	76.37%	59.36%	69.65%	66.51%
